,image_path,ground_truth
0,../data/kagglecatsanddogs_3367a/PetImages/Cat/8689.jpg,Cat
1,../data/kagglecatsanddogs_3367a/PetImages/Cat/2841.jpg,Cat
2,../data/kagglecatsanddogs_3367a/PetImages/Cat/3781.jpg,Cat
3,../data/kagglecatsanddogs_3367a/PetImages/Cat/1037.jpg,Cat
4,../data/kagglecatsanddogs_3367a/PetImages/Dog/2705.jpg,Dog
5,../data/kagglecatsanddogs_3367a/PetImages/Cat/6037.jpg,Cat
6,../data/kagglecatsanddogs_3367a/PetImages/Dog/4798.jpg,Dog
7,../data/kagglecatsanddogs_3367a/PetImages/Dog/5114.jpg,Dog
8,../data/kagglecatsanddogs_3367a/PetImages/Dog/1064.jpg,Dog
9,../data/kagglecatsanddogs_3367a/PetImages/Dog/11205.jpg,Dog
10,../data/kagglecatsanddogs_3367a/PetImages/Dog/2133.jpg,Dog
11,../data/kagglecatsanddogs_3367a/PetImages/Dog/1187.jpg,Dog
12,../data/kagglecatsanddogs_3367a/PetImages/Dog/7672.jpg,Dog
13,../data/kagglecatsanddogs_3367a/PetImages/Dog/9001.jpg,Dog
14,../data/kagglecatsanddogs_3367a/PetImages/Dog/9873.jpg,Dog
15,../data/kagglecatsanddogs_3367a/PetImages/Dog/7881.jpg,Dog
16,../data/kagglecatsanddogs_3367a/PetImages/Dog/1594.jpg,Dog
17,../data/kagglecatsanddogs_3367a/PetImages/Dog/2195.jpg,Dog
18,../data/kagglecatsanddogs_3367a/PetImages/Dog/2085.jpg,Dog
19,../data/kagglecatsanddogs_3367a/PetImages/Dog/1047.jpg,Dog
20,../data/kagglecatsanddogs_3367a/PetImages/Dog/9653.jpg,Dog
21,../data/kagglecatsanddogs_3367a/PetImages/Dog/2502.jpg,Dog
22,../data/kagglecatsanddogs_3367a/PetImages/Dog/7045.jpg,Dog
23,../data/kagglecatsanddogs_3367a/PetImages/Cat/4222.jpg,Cat
24,../data/kagglecatsanddogs_3367a/PetImages/Cat/2620.jpg,Cat
25,../data/kagglecatsanddogs_3367a/PetImages/Dog/6404.jpg,Dog
26,../data/kagglecatsanddogs_3367a/PetImages/Dog/2758.jpg,Dog
27,../data/kagglecatsanddogs_3367a/PetImages/Dog/4775.jpg,Dog
28,../data/kagglecatsanddogs_3367a/PetImages/Dog/7782.jpg,Dog
29,../data/kagglecatsanddogs_3367a/PetImages/Dog/5021.jpg,Dog
30,../data/kagglecatsanddogs_3367a/PetImages/Dog/7425.jpg,Dog
31,../data/kagglecatsanddogs_3367a/PetImages/Cat/10456.jpg,Cat
32,../data/kagglecatsanddogs_3367a/PetImages/Dog/4293.jpg,Dog
33,../data/kagglecatsanddogs_3367a/PetImages/Dog/5808.jpg,Dog
34,../data/kagglecatsanddogs_3367a/PetImages/Dog/3394.jpg,Dog
35,../data/kagglecatsanddogs_3367a/PetImages/Dog/2599.jpg,Dog
36,../data/kagglecatsanddogs_3367a/PetImages/Cat/11831.jpg,Cat
37,../data/kagglecatsanddogs_3367a/PetImages/Cat/3511.jpg,Cat
38,../data/kagglecatsanddogs_3367a/PetImages/Dog/364.jpg,Dog
39,../data/kagglecatsanddogs_3367a/PetImages/Dog/395.jpg,Dog
40,../data/kagglecatsanddogs_3367a/PetImages/Cat/9789.jpg,Cat
41,../data/kagglecatsanddogs_3367a/PetImages/Dog/3647.jpg,Dog
42,../data/kagglecatsanddogs_3367a/PetImages/Dog/3676.jpg,Dog
43,../data/kagglecatsanddogs_3367a/PetImages/Cat/1272.jpg,Cat
44,../data/kagglecatsanddogs_3367a/PetImages/Cat/3246.jpg,Cat
45,../data/kagglecatsanddogs_3367a/PetImages/Cat/9727.jpg,Cat
46,../data/kagglecatsanddogs_3367a/PetImages/Cat/9317.jpg,Cat
47,../data/kagglecatsanddogs_3367a/PetImages/Cat/4508.jpg,Cat
48,../data/kagglecatsanddogs_3367a/PetImages/Cat/1949.jpg,Cat
49,../data/kagglecatsanddogs_3367a/PetImages/Cat/10424.jpg,Cat
50,../data/kagglecatsanddogs_3367a/PetImages/Cat/9571.jpg,Cat
51,../data/kagglecatsanddogs_3367a/PetImages/Dog/9243.jpg,Dog
52,../data/kagglecatsanddogs_3367a/PetImages/Cat/7012.jpg,Cat
53,../data/kagglecatsanddogs_3367a/PetImages/Dog/11191.jpg,Dog
54,../data/kagglecatsanddogs_3367a/PetImages/Cat/9815.jpg,Cat
55,../data/kagglecatsanddogs_3367a/PetImages/Cat/8643.jpg,Cat
56,../data/kagglecatsanddogs_3367a/PetImages/Cat/3556.jpg,Cat
57,../data/kagglecatsanddogs_3367a/PetImages/Dog/9209.jpg,Dog
58,../data/kagglecatsanddogs_3367a/PetImages/Cat/8069.jpg,Cat
59,../data/kagglecatsanddogs_3367a/PetImages/Dog/11898.jpg,Dog
60,../data/kagglecatsanddogs_3367a/PetImages/Cat/177.jpg,Cat
61,../data/kagglecatsanddogs_3367a/PetImages/Cat/816.jpg,Cat
62,../data/kagglecatsanddogs_3367a/PetImages/Dog/9857.jpg,Dog
63,../data/kagglecatsanddogs_3367a/PetImages/Cat/1364.jpg,Cat
64,../data/kagglecatsanddogs_3367a/PetImages/Dog/3730.jpg,Dog
65,../data/kagglecatsanddogs_3367a/PetImages/Dog/8554.jpg,Dog
66,../data/kagglecatsanddogs_3367a/PetImages/Dog/1556.jpg,Dog
